miner_with_layout
-------------------------------------
Wed Jul  2 10:37:18 2014    statsfile

         68392167 function calls (67604268 primitive calls) in 74.971 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   151718    0.045    0.000    0.045    0.000 {method 'remove' of 'list' objects}
      484    0.001    0.000    0.001    0.000 {method 'index' of 'str' objects}
   462629    1.998    0.000    3.118    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:360(_parse_number)
    29664    0.199    0.000    0.218    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:538(end_type)
     2773    0.002    0.000    0.003    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:257(__iter__)
     2124    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
   319329    0.534    0.000    0.534    0.000 {map}
  1950998    0.384    0.000    0.384    0.000 {method 'start' of '_sre.SRE_Match' objects}
      234    0.004    0.000   72.201    0.309 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:819(process_page)
    20875    0.003    0.000    0.003    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:172(flush)
    13308    0.007    0.000    0.010    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:274(__len__)
    33543    0.131    0.000    0.239    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:219(nextline)
3989/3753    0.005    0.000    0.523    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:68(resolve1)
    14739    0.333    0.000    0.641    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:285(add)
      234    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:10(__init__)
     5961    0.019    0.000    0.049    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:191(seek)
      376    0.001    0.000    0.005    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:699(decode)
      234    0.003    0.000    0.183    0.001 /Library/Python/2.7/site-packages/pdfminer/pdfpage.py:41(__init__)
     2156    0.004    0.000    0.006    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:694(do_Tf)
   185438    0.148    0.000    0.148    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:102(intern)
     1164    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:693(is_vertical)
      234    0.117    0.000    1.322    0.006 /Library/Python/2.7/site-packages/pdfminer/layout.py:580(group_textboxes)
     2793    0.004    0.000    0.005    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:669(do_EMC)
        5    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:71(get_metrics)
   278817    0.155    0.000    0.222    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:208(fillbuf)
    17437    0.004    0.000    0.004    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:641(do_ET)
      234    0.001    0.000    0.030    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:225(seek)
     9427    0.074    0.000    0.452    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:359(find_neighbors)
       29    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:127(num_value)
    31288    0.008    0.000    0.008    0.000 {iter}
   703290    0.153    0.000    0.153    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:257(is_compatible)
     9427    0.013    0.000    0.093    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:402(__init__)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:285(__init__)
     2793    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfdevice.py:28(begin_tag)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_16_be.py:25(StreamWriter)
      236    0.000    0.000    0.030    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:164(__init__)
        5    0.000    0.000    0.010    0.002 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:560(__init__)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfparser.py:42(__init__)
    17433    0.016    0.000    0.016    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:732(do_Tm)
      740    0.003    0.000    0.006    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
   322245    1.053    0.000    1.914    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:410(_parse_string)
      248    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:205(get)
      235    0.001    0.000    0.506    0.002 /Library/Python/2.7/site-packages/pdfminer/pdfpage.py:75(create_pages)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      262    0.000    0.000    0.003    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:387(get_current_state)
   223754    2.725    0.000   22.770    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:550(nextobject)
   755872    0.679    0.000    2.098    0.000 /Library/Python/2.7/site-packages/pdfminer/converter.py:153(write_text)
      262    0.000    0.000    0.003    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:396(do_q)
      468    0.007    0.000    0.403    0.001 /Library/Python/2.7/site-packages/pdfminer/utils.py:279(extend)
     9427    0.004    0.000    0.004    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:417(<lambda>)
   703524    2.011    0.000    8.120    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:350(add)
    81835    0.052    0.000    0.052    0.000 {hasattr}
      496    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfdevice.py:24(set_ctm)
        1    0.000    0.000    0.000    0.000 {_codecs.utf_16_be_decode}
     5078    0.009    0.000    0.009    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:450(<lambda>)
    21627    0.029    0.000    0.141    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:266(__init__)
      262    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:542(do_n)
    12200    0.006    0.000    0.006    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:94(is_empty)
     9427    0.006    0.000    0.010    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:650(<lambda>)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:21(get_widths)
        6    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:458(__init__)
     2793    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfdevice.py:31(end_tag)
        1    0.040    0.040    2.213    2.213 /Library/Python/2.7/site-packages/pdfminer/pdfdocument.py:153(load)
   219253    0.110    0.000    0.110    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:520(popall)
    19817    0.007    0.000    0.007    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:101(<genexpr>)
      234    0.001    0.000    0.032    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:209(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.py:49(normalize_encoding)
        5    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:523(__init__)
      165    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:512(do_f_a)
      262    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:105(copy)
    17368    0.007    0.000    0.007    0.000 /Library/Python/2.7/site-packages/pdfminer/pdffont.py:480(is_multibyte)
    17744    0.045    0.000    0.045    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:57(mult_matrix)
    26192    0.017    0.000    0.021    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:122(literal_name)
      788    0.001    0.000    0.001    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:116(get_unichr)
      235    0.000    0.000    0.000    0.000 {method 'seek' of 'cStringIO.StringI' objects}
       18    0.000    0.000    0.003    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:299(do_keyword)
        4    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:443(do_i)
     2793    0.004    0.000    0.005    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:665(do_BDC)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:28(__init__)
     8190    0.011    0.000    0.021    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:449(_parse_wopen)
   694107    0.961    0.000    2.324    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:101(hdistance)
    31821    0.032    0.000    0.121    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:582(<genexpr>)
    17744    0.040    0.000   20.659    0.001 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:745(do_TJ)
  1488482    3.399    0.000    3.399    0.000 /Library/Python/2.7/site-packages/pdfminer/layout.py:84(set_bbox)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:256(get_cmap)
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      294    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:573(do_G)
        1    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/utils.py:161(nunpack)
      236    0.000    0.000    0.000    0.000 /Library/Python/2.7/site-packages/pdfminer/pdftypes.py:186(set_objid)
     5961    0.012    0.000    0.072    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:506(seek)
    42954    0.082    0.000    0.082    0.000 /Library/Python/2.7/site-packages/pdfminer/pdfinterp.py:380(pop)
        1    0.000    0.000    0.003    0.003 /Library/Python/2.7/site-packages/pdfminer/cmapdb.py:178(add_cid2unichr)
   986261    3.626    0.000   16.759    0.000 /Library/Python/2.7/site-packages/pdfminer/psparser.py:480(nexttoken)
